Time	V(L1)
0.0001	1.7918768170140709
0.00020000000000000001	1.6027595076534507
0.00030000000000000003	1.5357378593872539
0.00040000000000000002	1.3421605735331799
0.00050000000000000001	1.2710492741185853
0.00060000000000000006	1.073758474079245
0.0007000000000000001	0.99931507454931179
0.00080000000000000015	0.79907832356127528
0.00090000000000000019	0.72207930860663794
0.0010000000000000002	0.51968090938729894
0.0011000000000000003	0.44091728521529205
0.0012000000000000003	0.23715382339863922
0.0013000000000000004	0.15742662307798305
0.0014000000000000004	-0.04689755914411009
0.0015000000000000005	-0.12678182731251653
0.0016000000000000005	-0.33085920162303495
0.0017000000000000006	-0.41009313684776671
0.0018000000000000006	-0.61311757734117123
0.0019000000000000006	-0.69089747415223002
0.0020000000000000005	-0.89206883790327041
0.0021000000000000003	-0.96759925296678873
0.0022000000000000001	-1.1661279266019786
0.0023	-1.2386261985882552
0.0023999999999999998	-1.4337375850261846
0.0024999999999999996	-1.5024382818473292
0.0025999999999999994	-1.6933772017145188
0.0026999999999999993	-1.7575364698620533
0.0027999999999999991	-1.9435714525720904
0.0028999999999999989	-2.0024712438416081
0.0029999999999999988	-2.1828986839572018
0.0030999999999999986	-2.2358508355408535
0.0031999999999999984	-2.4099989908003216
0.0032999999999999982	-2.4563491355655387
0.0033999999999999981	-2.6235819438564789
0.0034999999999999979	-2.6627132285899524
0.0035999999999999977	-2.8224339221811778
0.0036999999999999976	-2.8537705126723711
0.0037999999999999974	-3.0054250091665402
0.0038999999999999972	-3.0284353622131555
0.0039999999999999975	-3.1715154129535073
0.0040999999999999977	-3.1857152966949354
0.004199999999999998	-3.3197613747363963
0.0042999999999999983	-3.3247166201559875
0.0043999999999999985	-3.4493205313885333
0.0044999999999999988	-3.44464949934844
0.0045999999999999991	-3.5594567019374246
0.0046999999999999993	-3.5448324517288299
0.0047999999999999996	-3.6495440706923343
0.0048999999999999998	-3.6246962177771902
0.0050000000000000001	-3.7190707432532832
0.0051000000000000004	-3.6837869956439562
0.0052000000000000006	-3.7676416551977177
0.0053000000000000009	-3.7217690197418385
0.0054000000000000012	-3.7949808169150945
0.0055000000000000014	-3.7384264686333601
0.0056000000000000017	-3.8009328818348287
0.0057000000000000019	-3.7336646913711746
0.0058000000000000022	-3.7854640291368202
0.0059000000000000025	-3.7075107453234502
0.0060000000000000027	-3.7486621559278843
0.006100000000000003	-3.6601132424288085
0.0062000000000000033	-3.6907363777927804
0.0063000000000000035	-3.5917415047534096
0.0064000000000000038	-3.6120158405577474
0.006500000000000004	-3.502784034149542
0.0066000000000000043	-3.5129478500185218
0.0067000000000000046	-3.3937463047102767
0.0068000000000000048	-3.394095330259228
0.0069000000000000051	-3.2652478905650151
0.0070000000000000053	-3.2561336250057415
0.0071000000000000056	-3.11801894533561
0.0072000000000000059	-3.0998466601877661
0.0073000000000000061	-2.9528960532579474
0.0074000000000000064	-2.926122489515226
0.0075000000000000067	-2.7708174755432413
0.0076000000000000069	-2.7359482483803044
0.0077000000000000072	-2.5728178189909023
0.0078000000000000074	-2.5304045447568146
0.0079000000000000077	-2.3600221571462576
0.0080000000000000071	-2.3106593189700986
0.0081000000000000065	-2.1336396374082689
0.0082000000000000059	-2.0779612072279185
0.0083000000000000053	-1.8949566104121685
0.0084000000000000047	-1.8336324466196485
0.0085000000000000041	-1.6453293207296049
0.0086000000000000035	-1.5790613619013127
0.0087000000000000029	-1.3861762004161671
0.0088000000000000023	-1.3156944767575673
0.0089000000000000017	-1.1189698091970568
0.0090000000000000011	-1.0450282943659905
0.0091000000000000004	-0.8452284670890986
0.0091999999999999998	-0.76860079396721126
0.0092999999999999992	-0.56650762700360957
0.0093999999999999986	-0.48798269175993614
0.009499999999999998	-0.28439103635289342
0.0095999999999999974	-0.20476851577824196
0.0096999999999999968	-0.00048173788134153739
0.0097999999999999962	0.079432454534811292
0.0098999999999999956	0.28360703914325214
0.009999999999999995	0.36300533257378476
