Time	V(R9)
1.0000000000000001e-005	999.99999999488955
2.0000000000000002e-005	999.99999999488966
3.0000000000000004e-005	999.99999999488989
4.0000000000000003e-005	999.99999999489035
5.0000000000000002e-005	999.99999999488841
6.0000000000000002e-005	999.99999999488909
7.0000000000000007e-005	999.9999999948908
8.0000000000000007e-005	999.99999999488841
9.0000000000000006e-005	999.99999999488875
0.0001	999.99999999489125
0.00011	999.99999999488921
0.00012	999.99999999488989
0.00013000000000000002	999.99999999489103
0.00014000000000000001	999.99999999489148
0.00015000000000000001	999.99999999489137
0.00016000000000000001	999.99999999488853
0.00017000000000000001	999.99999999488909
0.00018000000000000001	999.99999999489364
0.00019000000000000001	999.99999999489296
0.00020000000000000001	999.99999999488989
0.00021000000000000001	999.99999999488864
0.00022000000000000001	999.99999999489444
0.00023000000000000001	999.99999999489239
0.00024000000000000001	999.99999999489023
0.00025000000000000001	999.99999999489
0.00026000000000000003	999.99999999489478
0.00027000000000000006	999.99999999488773
0.00028000000000000008	999.99999999488853
0.00029000000000000011	999.99999999488989
0.00030000000000000014	999.99999999488568
0.00031000000000000016	999.99999999489228
0.00032000000000000019	999.99999999488466
0.00033000000000000022	999.99999999489592
0.00034000000000000024	999.99999999489648
0.00035000000000000027	999.99999999488625
0.00036000000000000029	999.99999999488091
0.00037000000000000032	999.99999999489694
0.00038000000000000035	999.99999999488136
0.00039000000000000037	999.9999999948958
0.0004000000000000004	999.99999999488955
0.00041000000000000042	999.99999999488421
0.00042000000000000045	999.99999999488841
0.00043000000000000048	999.99999999489785
0.0004400000000000005	999.99999999489512
0.00045000000000000053	999.99999999489251
0.00046000000000000056	999.99999999488932
0.00047000000000000058	999.99999999488602
0.00048000000000000061	999.99999999488443
0.00049000000000000063	999.99999999488739
0.00050000000000000066	999.99999999488489
0.00051000000000000069	999.99999999489648
0.00052000000000000071	999.99999999490024
0.00053000000000000074	999.99999999490433
0.00054000000000000077	999.999999994875
0.00055000000000000079	999.99999999489353
0.00056000000000000082	999.99999999488625
0.00057000000000000084	999.9999999948941
0.00058000000000000087	999.99999999490285
0.0005900000000000009	999.99999999489921
0.00060000000000000092	999.99999999488512
0.00061000000000000095	999.99999999489228
0.00062000000000000098	999.99999999489705
0.000630000000000001	999.9999999948908
0.00064000000000000103	999.99999999488057
