Time	V(R9)
1.0000000000000001e-005	9.7124535064220865
2.0000000000000002e-005	9.7161151150849783
3.0000000000000004e-005	9.7197056108789237
4.0000000000000003e-005	9.7232263749018504
5.0000000000000002e-005	9.7266787614290919
6.0000000000000002e-005	9.7300640984343136
7.0000000000000007e-005	9.7333836881003339
8.0000000000000007e-005	9.7366388073199985
9.0000000000000006e-005	9.7398307081873536
0.0001	9.7429606184792625
0.00011	9.746029742127682
0.00012	9.7490392596827427
0.00013000000000000002	9.7519903287668779
0.00014000000000000001	9.7548840845200839
0.00015000000000000001	9.7577216400365678
0.00016000000000000001	9.7605040867928992
0.00017000000000000001	9.7632324950678573
0.00018000000000000001	9.7659079143541074
0.00019000000000000001	9.7685313737619026
0.00020000000000000001	9.771103882414927
0.00021000000000000001	9.7736264298384601
0.00022000000000000001	9.7760999863400109
0.00023000000000000001	9.7785255033825376
0.00024000000000000001	9.7809039139504375
0.00025000000000000001	9.7832361329084243
0.00026000000000000003	9.78552305735343
0.00027000000000000006	9.7877655669596795
0.00028000000000000008	9.7899645243170621
0.00029000000000000011	9.7921207752629282
0.00030000000000000014	9.7942351492074433
0.00031000000000000016	9.7963084594526197
0.00032000000000000019	9.7983415035051689
0.00033000000000000022	9.8003350633832547
0.00034000000000000024	9.8022899059172968
0.00035000000000000027	9.8042067830449486
0.00036000000000000029	9.8060864321003205
0.00037000000000000032	9.8079295760976031
0.00038000000000000035	9.8097369240091776
0.00039000000000000037	9.811509171038324
0.0004000000000000004	9.8132469988866315
0.00041000000000000042	9.8149510760162251
0.00042000000000000045	9.8166220579068835
0.00043000000000000048	9.8182605873081705
0.0004400000000000005	9.8198672944866878
0.00045000000000000053	9.821442797468487
0.00046000000000000056	9.8229877022768086
0.00047000000000000058	9.824502603165195
0.00048000000000000061	9.8259880828460542
0.00049000000000000063	9.8274447127148274
0.00050000000000000066	9.8288730530697546
0.00051000000000000069	9.8302736533274135
0.00052000000000000071	9.8316470522340431
0.00053000000000000074	9.8329937780727832
0.00054000000000000077	9.8343143488668705
0.00055000000000000079	9.8356092725789068
0.00056000000000000082	9.8368790473062457
0.00057000000000000084	9.8381241614725887
